Database,Title,Tree Pests?,Country,Scale*,Invasive,Environment,Active,Website
Google,SOD Blitz,Y,USA,Local,Pests & Diseases,Terrestrial,Active,http://nature.berkeley.edu/garbelottowp/
Google,ZomBee Watch,N,USA,National,Insects,Terrestrial,Active,https://www.zombeewatch.org
Google,House Finch Eye Disease Survey,N,USA,National,Diseases,Terrestrial,Active,http://feederwatch.org/learn/house-finch-eye-disease/
Google,NJ Invasive Species Strike Team,N,USA,Local,Multiple,Terrestrial,Active,http://www.njisst.org/index.asp
Google,iMapInvasives,N,USA,National,Multiple,Terrestrial,Active,http://imapinvasives.org/
Google,Michigan Eyes on the Forest & Forest Sentinal Tree Network,Y,USA,Local,Multiple,Terrestrial,Active,http://www.misin.msu.edu/eyes/
Google,Wasp Watcher Program,N,USA,Local,Insects,Terrestrial,Active,http://www.cerceris.info/
Google,Green Crab Watch,N,USA,Local,Invertebrates,Aquatic,Active,http://greencrab.nisbase.org/
Google,Adriondack Park Invasive Plant Program,N,USA,Local,Multiple,Both,Active,http://adkinvasives.com/get-involved/volunteer/
Google,Citizen Lake Monitoring Network,N,USA,Local,Multiple,Aquatic,Active,http://www.uwsp.edu/cnr-ap/UWEXLakes/Pages/programs/clmn/default.aspx
Google,Midwest Invasive Plant Network,N,USA,Regional,Plants,Terrestrial,Active,http://www.mipn.org/
Google,Invasive mosquito project,N,USA,Global,Insects,Terrestrial,Active,http://citizenscience.us/imp/
Google,Invasive Plants Association of Wisconsin,N,USA,Local,Plants,Terrestrial,Active,http://www.ipaw.org/
citsci.org,Southwest Exotic Mapping Program (SWAMP),N,USA,Regional,Plants,Terrestrial,Active,http://usgs.nau.edu/SWEPIC/index.asp
citsci.org,Lowcountry Algal Monitoring Program (LAMP),N,USA,Local,Algea/Seaweed,Aquatic,Active,http://www.citsci.org/
citsci.org,Wisconsin Invasive Plants of the Future,N,USA,Local,Plants,Terrestrial,Inactive,
citsci.org,Potomac Highlands Cooperative Weed and Pest Management Area,N,USA,Local,Multiple,Terrestrial,Inactive,http://www.phcwpma.org/
citsci.org,Wisconsin Spotted Knapweed Roadside Survey,N,USA,Local,Plants,Terrestrial,Inactive,
citsci.org,Project R.E.D. (Riverine Early Detectors),N,USA,Local,Plants,Terrestrial,Inactive,
citsci.org,New York & New Jersey Invasives Strike Force,N,USA,Regional,Plants,Terrestrial,Active,https://www.nynjtc.org/
citsci.org,Marine Invasive Species Monitoring Organization,N,USA,Local,Multiple,Aquatic,Inactive,http://www.mikedelaney.org/user/index.htm
citsci.org,Wetland Worries & Roadside Invasives,N,USA,Regional,Plants,Terrestrial,Inactive,http://www.citsci.org/
citsci.org,ELK,N,USA,Local,Plants,Terrestrial,Inactive,http://www.elkkids.org/content/about-elk
citsci.org,Beaver Creek Reserve Terrestrial Invasive Species Volunteer Program,N,USA,Local,Plants,Terrestrial,Active,https://www.beavercreekreserve.org/learn/citizen-science-center/
citsci.org,Flora invasora en Navarra,N,Spain,Local,Plants,Terrestrial,Active,https://www.unavarra.es/herbario/
citsci.org,"Poudre River Canyon, Colorado - Invasive Species",N,USA,Local,Plants,Terrestrial,Inactive,http://www.citsci.org/
citsci.org,Invasive Lionfish Removal Project,N,Multiple,Global,Vertebrates,Aquatic,Active,http://www.reef.org/lionfish
citsci.org,Invasive Species on the Duke Forest,N,USA,Local,Plants,Terrestrial,Inactive,http://www.citsci.org/
citsci.org,Cape Citizen Science,Y,South Africa,Local,Pests & Diseases,Terrestrial,Active,http://citsci.co.za
citsci.org,Stanley Park Invasive Species Mapping,N,USA,Local,Multiple,Terrestrial,Inactive,http://www.citsci.org/
